Date,Open,High,Low,Close,Volume,SP500_Close,SP500_Yuzde_Degisim,DXY_Close,DXY_Yuzde_Degisim,Nasdaq_Yuzde_Degisim
2023-01-03,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800,3824.139892578125,0.007538970575044379,104.5199966430664,-0.0025832056232114597,0.006910506579939524
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000,3852.969970703125,0.007538970575044379,104.25,-0.0025832056232114597,0.006910506579939524
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300,3808.10009765625,-0.011645528874622113,105.04000091552734,0.007577946431917004,-0.014678559857027706
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100,3895.080078125,0.02284078102943865,103.87999725341797,-0.011043446801207168,0.02562286746180975
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000,3892.090087890625,-0.0007676325452631305,103.0,-0.008471286837553493,0.00627860067395658
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500,3919.25,0.006978233159061986,103.23999786376953,0.00233007634727711,0.010058575475722531
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800,3969.610107421875,0.012849424614881588,103.19000244140625,-0.0004842640778552898,0.01759718440686031
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900,3983.169921875,0.0034159058663651987,102.25,-0.009109433270340417,0.006351242581983385
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100,3999.090087890625,0.003996858363534361,102.19999694824219,-0.0004890274010543871,0.007095704033847516
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000,3990.969970703125,-0.0020304911890052235,102.38999938964844,0.0018591237483351897,0.0014396574368051862
2023-01-18,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,195680300,3928.860107421875,-0.015562598500411085,102.36000061035156,-0.000292985442676974,-0.012446977232457357
2023-01-19,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,170291900,3898.85009765625,-0.007638350296294338,102.05999755859375,-0.0029308621528815193,-0.009559198779177658
