Date,Open,High,Low,Close,Volume,SP500_Close,SP500_Yuzde_Degisim,DXY_Close,DXY_Yuzde_Degisim,Nasdaq_Yuzde_Degisim
2023-01-03,128.10576142344397,128.71540946850325,122.09773035328112,122.98271179199219,112117500,3824.139892578125,0.007538970575044379,104.5199966430664,-0.0025832056232114597,0.006910506579939524
2023-01-04,124.77235918676689,126.51282423450827,122.99256829233606,124.25120544433594,89113600,3852.969970703125,0.007538970575044379,104.25,-0.0025832056232114597,0.006910506579939524
2023-01-05,125.0083349534918,125.63765344479737,122.67789249421179,122.93354797363281,80962700,3808.10009765625,-0.011645528874622113,105.04000091552734,0.007577946431917004,-0.014678559857027706
2023-01-06,123.90702590791659,128.11558844506558,122.80571484542136,127.45677185058594,87754700,3895.080078125,0.02284078102943865,103.87999725341797,-0.011043446801207168,0.02562286746180975
2023-01-09,128.29257960577254,131.18351617146814,127.72225745979352,127.97791290283203,70790800,3892.090087890625,-0.0007676325452631305,103.0,-0.008471286837553493,0.00627860067395658
2023-01-10,128.08610610497774,129.06941726347972,125.98182082594903,128.5482635498047,63896200,3919.25,0.006978233159061986,103.23999786376953,0.00233007634727711,0.010058575475722531
2023-01-11,129.05959971999454,131.2818777117784,128.2827904454057,131.26222229003906,69458900,3969.610107421875,0.012849424614881588,103.19000244140625,-0.0004842640778552898,0.01759718440686031
2023-01-12,131.6457054280313,132.019353473187,129.2464237509339,131.1835479736328,71379600,3983.169921875,0.0034159058663651987,102.25,-0.009109433270340417,0.006351242581983385
2023-01-13,129.82659632055703,132.66836552146214,129.46277592243695,132.5110321044922,57809700,3999.090087890625,0.003996858363534361,102.19999694824219,-0.0004890274010543871,0.007095704033847516
2023-01-17,132.57984966159466,134.99878678874634,131.89153482883353,133.67132568359375,63646600,3990.969970703125,-0.0020304911890052235,102.38999938964844,0.0018591237483351897,0.0014396574368051862
2023-01-18,134.5366071318126,136.29672707490226,132.776472184589,132.95347595214844,69672800,3928.860107421875,-0.015562598500411085,102.36000061035156,-0.000292985442676974,-0.012446977232457357
2023-01-19,131.84236946093412,133.9761529962307,131.5375453850544,133.01251220703125,58280400,3898.85009765625,-0.007638350296294338,102.05999755859375,-0.0029308621528815193,-0.009559198779177658
2023-01-20,133.02233471040634,135.71661273457056,131.98002726434026,135.56910705566406,80223600,3972.610107421875,0.018918401045981525,102.01000213623047,-0.0004898630566259055,0.02655298556861485
2023-01-23,135.81492969380113,140.92815961902411,135.59860004292767,138.75503540039062,81760300,4019.81005859375,0.01188134498366522,102.13999938964844,0.001274357912907087,0.020105191184978777
2023-01-24,137.96838472187488,140.77082749424633,137.95855701188813,140.15133666992188,66435100,4016.949951171875,-0.0007115031258156934,101.91999816894531,-0.0021539183671213102,-0.0026521944021373756
2023-01-25,138.53869500355867,140.0529874380773,136.49340619294276,139.4925079345703,65799300,4016.219970703125,-0.0001817250594663422,101.63999938964844,-0.0027472408195371445,-0.00184477523053872
2023-01-26,140.78062529691158,141.8426029112318,139.53181620357194,141.5574493408203,54105100,4060.429931640625,0.011007853469181317,101.83999633789062,0.001967699227107156,0.017594224748618492
2023-01-27,140.77080718806803,144.77287517943125,140.69214050710963,143.49456787109375,70555800,4070.56005859375,0.002494840970949097,101.93000030517578,0.0008837781865833616,0.009494085356936521
2023-01-30,142.54077586673455,143.12092578303154,140.46598895897412,140.6134796142578,64015300,4017.77001953125,-0.012968740984683369,102.27999877929688,0.003433714049575265,-0.019609884551499812
2023-01-31,140.31849689379183,141.93112656571586,139.90550801485074,141.8819580078125,65874500,4076.60009765625,0.014642470285510134,102.0999984741211,-0.0017598778580765195,0.016740690038561823
2023-02-01,141.56728874190614,144.16322923439725,138.96152054070433,143.00291442871094,77663600,4119.2099609375,0.010452303944590291,101.22000122070312,-0.00861897420734059,0.02000686360023396
2023-02-02,146.41502317640206,148.65697138188685,145.6972102432423,148.30299377441406,118339000,4179.759765625,0.014699373244309921,101.75,0.005236107220955688,0.032539740784891746
2023-02-03,145.5595309829737,154.75349514117664,145.36287177724367,151.9215545654297,154357300,4136.47998046875,-0.010354610691310495,102.91999816894531,0.011498753503148107,-0.015889924793735077
2023-02-06,150.02377712562708,150.54493079230497,148.26364190831887,149.19778442382812,69858300,4111.080078125,-0.006140463017754394,103.62000274658203,0.0068014437435923725,-0.009952568975146847
2023-02-07,148.12597415973434,152.63936822302708,148.12597415973434,152.0690460205078,83322600,4164.0,0.01287251059802652,103.43000030517578,-0.001833646365276831,0.019040234872172324
2023-02-08,151.31189384284664,152.00020850727236,148.64711456554969,149.3845977783203,64120100,4117.85986328125,-0.011080724476164705,103.41000366210938,-0.0001933350382616883,-0.01678009171011119
2023-02-09,151.21356571138807,151.75438976697808,147.9096401221254,148.3521270751953,56007100,4081.5,-0.00882979617773516,103.22000122070312,-0.0018373700287941386,-0.010154003174058679
2023-02-10,147.1900598433605,149.0414968354293,146.95369947058745,148.7165069580078,57450700,4090.4599609375,0.0021952617756952897,103.62999725341797,0.003972059948325279,-0.006061281272442431
2023-02-13,148.6574172040706,151.9171435900277,148.62787403653363,151.5133819580078,62199000,4137.2900390625,0.011448609342766147,103.3499984741211,-0.0027019085855243263,0.014820629942192687
2023-02-14,149.80963097340683,151.43458016213006,148.5687729786889,150.87322998046875,61707600,4136.1298828125,-0.0002804145319874607,103.2300033569336,-0.0011610558196335496,0.005748533344260842
2023-02-15,150.7846469892343,153.13834833360136,150.55814431502776,152.97093200683594,65573800,4147.60009765625,0.002773175690496066,103.91999816894531,0.0066840529843437135,0.009233951875017299
2023-02-16,151.17852906062296,153.95570692832584,151.02097051495025,151.37550354003906,68167900,4090.409912109375,-0.013788741489130674,103.86000061035156,-0.0005773437225836675,-0.01779198600938292
2023-02-17,150.03617955770974,150.67630162569367,148.55896091432058,150.23313903808594,59144100,4079.090087890625,-0.002767405825327751,103.86000061035156,0.0,-0.005782855053017344
2023-02-21,147.91880821074704,149.0021077790729,146.15600076088242,146.2249298095703,58867200,3997.340087890625,-0.020041234255327334,104.18000030517578,0.0030810677156141164,-0.025024432145246744
2023-02-22,146.60900607426132,147.67260518894304,144.92498541296462,146.64840698242188,51011300,3991.050048828125,-0.0015735561458868341,104.58999633789062,0.0039354581638879615,0.0012852525659377
2023-02-23,147.81048914517564,148.05669224456878,145.00378282832062,147.13096618652344,48394200,4012.320068359375,0.005329429416074394,104.5999984741211,9.563186328209738e-05,0.007241641517952591
2023-02-24,144.87577631301392,144.9545631210652,143.5068874555982,144.4818572998047,55469600,3970.0400390625,-0.010537551485558128,105.20999908447266,0.005831745881932138,-0.016863952439089114
2023-02-27,145.46662923177482,146.90444675275575,145.2105684203629,145.67343139648438,44998500,3982.239990234375,0.0030730045671669703,104.66999816894531,-0.005132600705506918,0.006322107562301227
2023-02-28,144.81670098117985,146.81586942805245,144.60004099931746,145.17123413085938,50547000,3970.14990234375,-0.0030360018281855305,104.87000274658203,0.00191081094043688,-0.000997684588255665
2023-03-01,144.59999202590106,144.99391093566584,142.80762642427203,143.1030731201172,55479000,3951.389892578125,-0.004725264845680033,104.4800033569336,-0.003718884136876266,-0.00663954471401107
2023-03-02,142.1872231725768,144.481837933212,141.71450238763347,143.69398498535156,52238100,3981.35009765625,0.0075821940867943916,105.02999877929688,0.005264121407848155,0.007337769086146251
2023-03-03,145.79164167073546,148.81502337863614,145.09243318314816,148.73623657226562,70732300,4045.639892578125,0.0161477371607488,104.5199966430664,-0.004855775894105796,0.019718196108873487
2023-03-06,151.4543124625378,153.926201531547,151.1293375512549,151.49371337890625,87558000,4048.419921875,0.0006871667698291617,104.3499984741211,-0.0016264655033031428,-0.0011352143180701768
2023-03-07,151.36567408118486,151.69066400049135,148.83471383986452,149.29757690429688,56182000,3986.3701171875,-0.015326919115337678,105.62000274658203,0.012170620901119644,-0.012454041742200883
2023-03-08,150.48917721139935,151.1391569879468,149.5240652876753,150.5482635498047,47204800,3992.010009765625,0.0014147940136839399,105.66000366210938,0.00037872481052025897,0.003960851212893246
2023-03-09,151.2277963802791,152.1929083670859,147.9483691410299,148.3029022216797,53833600,3918.320068359375,-0.01845935787384867,105.30999755859375,-0.003312569481209837,-0.02052957762828267
2023-03-10,147.92868001277867,148.64758887079853,145.36816171354923,146.24464416503906,68572400,3861.590087890625,-0.01447813845705137,104.58000183105469,-0.006931874888069345,-0.017591622044585642
2023-03-13,145.56508833410462,150.81413914374863,145.45675839142748,148.1846923828125,84457100,3855.760009765625,-0.001509761003189447,103.5999984741211,-0.00937084853485426,0.0044843065053172815
2023-03-14,148.98238986483992,151.07018694052056,147.820318670502,150.27249145507812,73695900,3919.2900390625,0.016476655480623936,103.5999984741211,0.0,0.0213883253506999
2023-03-15,148.8937927615987,150.92250395033966,147.64307677577528,150.6664581298828,77167900,3891.929931640625,-0.00698088356543769,104.6500015258789,0.010135164741533309,0.0005162177483539754
2023-03-16,149.84908663995225,154.0837837636838,149.33697988783769,153.48304748535156,76161100,3960.280029296875,0.017562006217166637,104.41999816894531,-0.0021978342434779696,0.024770791940567527
2023-03-17,153.70951897971963,154.35949876084172,151.93685367986137,152.6459197998047,98944600,3916.639892578125,-0.011019457310067593,103.70999908447266,-0.006799455055763515,-0.00740534542040483
2023-03-20,152.71487589238697,155.42311016638172,151.80883520237765,155.0094757080078,73641400,3951.570068359375,0.008918403718310097,103.27999877929688,-0.004146179818452667,0.0038717368666496554
2023-03-21,154.93069227015488,156.9790888157361,154.1625247817563,156.8609161376953,73938300,4002.8701171875,0.012982193897784988,103.26000213623047,-0.0001936158336827143,0.015808289114035645
2023-03-22,156.88062840402722,159.67749219321786,155.41325242402124,155.43295288085938,75701800,3936.969970703125,-0.01646322377571363,102.3499984741211,-0.008812741073826569,-0.016032767401691905
2023-03-23,156.41774787367245,159.09643867673987,155.28520465118157,156.51622009277344,67622100,3948.719970703125,0.0029845287333754023,102.52999877929688,0.0017586742340918171,0.0100634818011891
2023-03-24,156.44730394409444,157.90482213956633,155.45264879499626,157.81619262695312,59196500,3970.989990234375,0.005639807253104534,103.12000274658203,0.005754452104843821,0.0031015804249405754
2023-03-27,157.51087533277843,158.32827131215595,155.47230674076903,155.87608337402344,52390300,3977.530029296875,0.0016469543057482383,102.86000061035156,-0.0025213550165376075,-0.0046617307035543565
2023-03-28,155.57080817581272,156.08291480553032,153.61102618902072,155.2556610107422,45992200,3971.27001953125,-0.0015738434957162095,102.43000030517578,-0.004180442374336346,-0.004483004809774704
2023-03-29,156.94954647836764,158.60403911493316,156.92986104995282,158.3282928466797,51305700,4027.81005859375,0.014237268879836451,102.63999938964844,0.0020501716669627523,0.017937753484835728
2023-03-30,159.07678400613375,160.00251028897196,158.82073813032568,159.89418029785156,49501700,4050.830078125,0.005715269388667954,102.13999938964844,-0.004871395196543893,0.007314081426607499
2023-03-31,159.97293860815142,162.49405610459849,159.45098920585787,162.39556884765625,68749800,4109.31005859375,0.014436542471763847,102.51000213623047,0.0036225058624734796,0.017350560198826193
2023-04-03,161.7751332479675,163.76444342844442,161.725889623748,163.64627075195312,56976200,4124.509765625,0.0036988464765423945,102.08999633789062,-0.004097217730828606,-0.0026558827975756705
2023-04-04,164.0697406002056,164.3060859426903,162.6023648150906,163.11447143554688,46278300,4100.60009765625,-0.005796972083329965,101.58999633789062,-0.004897639513524288,-0.00517825793420712
2023-04-05,162.2379998945446,162.54328933366952,159.34264903941414,161.2728729248047,51511700,4090.3798828125,-0.002492370531228194,101.8499984741211,0.002559328138626027,-0.010676744384193637
2023-04-06,159.96308282888376,162.45467221127325,159.53962067833683,162.1592254638672,45390100,4105.02001953125,0.0035791630944272956,101.81999969482422,-0.0002945388291242246,0.007593620889580155
2023-04-10,158.96841666370352,159.56915283203125,157.64877164706385,159.56915283203125,47716900,4109.10986328125,0.0009963029974375814,102.58000183105469,0.007464173428681553,-0.00029778468712937656
2023-04-11,159.88431146406083,159.89415417908276,158.07224508795338,158.35784912109375,47644200,4108.93994140625,-4.1352477946232646e-05,102.19999694824219,-0.0037044733479177916,-0.004342842088717935
2023-04-12,158.77147274218814,159.59871163720814,157.35334033527027,157.66848754882812,50133100,4091.949951171875,-0.004134884052006904,101.5,-0.006849285412373285,-0.008522362262689986
2023-04-13,159.17522685740187,163.28189260314673,158.96840964951016,163.0455322265625,68445600,4146.22021484375,0.01326268999363811,101.01000213623047,-0.004827565160290925,0.019861089599533255
2023-04-14,162.09027277975596,163.794009087704,161.33197803499354,162.70086669921875,49386500,4137.64013671875,-0.0020693734728036706,101.55000305175781,0.005346014296673918,-0.003517906995037845
2023-04-17,162.5826774005875,162.8781241294329,161.53877864877254,162.72055053710938,41516200,4151.31982421875,0.00330615690296554,102.0999984741211,0.005416005965878323,0.0028250988184479464
2023-04-18,163.57733566867122,164.86743742961687,163.13415809407996,163.94171142578125,49923000,4154.8701171875,0.0008552202959737354,101.75,-0.0034279968594691512,-0.00035447192478732514
2023-04-19,163.2819130529251,165.60607111909823,163.02585218946155,165.08412170410156,47720200,4154.52001953125,-8.42619976980652e-05,101.97000122070312,0.0021621741592445787,0.00031434078590986125
2023-04-20,163.56748026442403,165.3204450523275,163.04553091898333,164.1189727783203,52456400,4129.7900390625,-0.00595254815297297,101.83999633789062,-0.001274932639562465,-0.008033976051417424
2023-04-21,162.54330660065614,163.92203809382642,161.99181400338804,162.51376342773438,58337300,4133.52001953125,0.0009031888869577287,101.81999969482422,-0.00019635353285030188,0.001069723197583139
2023-04-24,162.49405610505224,163.0849495926161,161.40091367199096,162.8190460205078,41949600,4137.0400390625,0.0008515791660903549,101.3499984741211,-0.004616001002865966,-0.0029206777855622645
2023-04-25,162.68117729099055,163.78416246885476,161.24334444666383,161.28274536132812,48714100,4071.6298828125,-0.015810858882773227,101.86000061035156,0.0050320882477437046,-0.01977536596551721
2023-04-26,160.58350725145092,162.76979197769046,160.32746143764658,161.2728729248047,45498800,4055.989990234375,-0.003841187197329843,101.47000122070312,-0.003828778591316917,0.00467740520462101
2023-04-27,162.6811671878293,165.9999802574992,162.6811671878293,165.85226440429688,64902300,4135.35009765625,0.01956614972249704,101.5,0.00029564185410446697,0.02428565332444066
2023-04-28,165.93105213681218,167.27039764589344,165.33031595199535,167.10296630859375,55275900,4169.47998046875,0.008253202753460531,101.66999816894531,0.0016748588073429715,0.0069459870766872545
2023-05-01,166.70903856930101,167.86126725124362,166.07875924686118,167.0143280029297,52472900,4167.8701171875,-0.0003861064902076494,102.1500015258789,0.0047211897863514984,-0.0011434488352971561
2023-05-02,167.50674796522142,167.76280882251325,164.9954731830596,165.98028564453125,48425700,4119.580078125,-0.011586262936400304,101.95999908447266,-0.0018600336619487567,-0.010815866234458515
2023-05-03,166.925713661642,168.32414556576836,164.6212560883793,164.90684509277344,65136000,4090.75,-0.006998305064656485,101.33999633789062,-0.006080842998717251,-0.004567662174075893
2023-05-04,162.38570858289833,164.50304913491388,161.8145156138655,163.27203369140625,81235400,4061.219970703125,-0.007218732334382416,101.4000015258789,0.0005921175267089573,-0.004900463198694083
2023-05-05,168.38322333782398,171.65280778469676,168.1665634032941,170.93389892578125,113453200,4136.25,0.018474751389515376,101.20999908447266,-0.0018737913071703582,0.02248042492676028
2023-05-08,169.86046198141287,171.20966537396347,169.49608615179136,170.86497497558594,55962800,4138.1201171875,0.0004521286642489297,101.37000274658203,0.001580907652966479,0.0017579930178321934
